,variable,ocurrencias,wr_long_30m,wr_short_30m,pnl_mean_30m,wr_long_60m,wr_short_60m,pnl_mean_60m,wr_long_120m,wr_short_120m,pnl_mean_120m,best_wr,has_edge
98,4H_extreme_bull_sma200,48990,0.5095,0.4794,0.0036,0.5135,0.479,0.0074,0.5222,0.4735,0.014,0.5222,False
106,4H_fib05_reject_bear,16577,0.4953,0.494,0.0126,0.5034,0.4909,0.0314,0.522,0.4743,0.1008,0.522,False
147,30M_stoch_A_bull,11368,0.4889,0.5021,-0.0083,0.4742,0.5217,-0.025,0.5062,0.4905,-0.0108,0.5217,False
197,15M_fib05_reject_bull,34198,0.517,0.4753,0.0181,0.5214,0.4726,0.0282,0.5212,0.4758,0.0609,0.5214,False
97,4H_reject_bear_sma200,10151,0.466,0.5213,-0.0306,0.4779,0.5153,-0.0447,0.4813,0.5145,-0.0964,0.5213,False
166,30M_fib05_reject_bull,25459,0.4882,0.5043,-0.0033,0.4787,0.5166,-0.0111,0.4762,0.5208,-0.0209,0.5208,False
83,4H_macd_e2_bear,11838,0.4698,0.5166,0.0178,0.4725,0.5206,0.0332,0.4807,0.5158,0.0111,0.5206,False
65,1D_reject_bull_ema21,44974,0.4987,0.4915,0.0127,0.5115,0.4821,0.0281,0.5204,0.4765,0.059,0.5204,False
153,30M_reject_bull_ema21,43855,0.4983,0.4936,0.0145,0.5029,0.4919,0.0226,0.5201,0.477,0.0549,0.5201,False
54,1D_macd_e1_bear,46446,0.4936,0.4981,-0.0267,0.4831,0.5104,-0.0522,0.4767,0.52,-0.0989,0.52,False
84,4H_stoch_ob,83124,0.5059,0.484,0.0053,0.5139,0.4793,0.011,0.5198,0.4756,0.0216,0.5198,False
5,1M_stoch_os,54629,0.5196,0.4713,0.0107,0.5198,0.4736,0.0212,0.5164,0.4801,0.0296,0.5198,False
42,1W_cross_bear_ema21,18224,0.4854,0.5069,-0.0259,0.4824,0.5134,-0.0531,0.4767,0.5198,-0.1077,0.5198,False
191,15M_extreme_bear_sma200,24952,0.5048,0.4906,0.0199,0.5131,0.4837,0.0435,0.5195,0.4785,0.0667,0.5195,False
33,1W_macd_e2_bull,14374,0.5134,0.4758,0.0065,0.5194,0.4733,0.0149,0.502,0.4937,0.0356,0.5194,False
93,4H_reject_bear_ema21,32374,0.4899,0.4981,0.0086,0.4988,0.4922,0.0184,0.5194,0.4764,0.0676,0.5194,False
205,5M_macd_e2_bull,10887,0.5026,0.4892,0.0114,0.5128,0.4817,0.0263,0.5194,0.4772,0.0124,0.5194,False
118,1H_stoch_B_bull,14271,0.5175,0.4751,0.0208,0.5194,0.4735,0.037,0.5067,0.4893,0.0353,0.5194,False
172,15M_macd_e1_bull,36024,0.4978,0.493,0.0181,0.5096,0.4849,0.0179,0.5193,0.4768,0.03,0.5193,False
181,15M_stoch_B_bear,12528,0.4734,0.5164,-0.0089,0.4986,0.4939,0.0109,0.5193,0.4767,0.0025,0.5193,False
136,1H_fib05_reject_bear,30877,0.5042,0.4882,0.0119,0.5047,0.489,0.0231,0.5188,0.4778,0.0462,0.5188,False
208,5M_stoch_os,48054,0.5117,0.4801,0.0044,0.5185,0.4752,0.0117,0.514,0.4812,0.0122,0.5185,False
161,30M_fib0382_in_zone,22401,0.5046,0.4854,0.0109,0.5095,0.4835,0.0244,0.5185,0.4763,0.0552,0.5185,False
76,1D_fib05_reject_bear,34237,0.5178,0.4732,0.0154,0.5183,0.4757,0.031,0.5168,0.48,0.0655,0.5183,False
126,1H_reject_bull_sma200,9468,0.5079,0.4863,-0.0415,0.5163,0.4807,-0.08,0.5183,0.48,-0.1065,0.5183,False
173,15M_macd_e1_bear,35858,0.4938,0.4972,-0.0188,0.5017,0.4923,-0.0117,0.5182,0.4787,-0.0035,0.5182,False
63,1D_cross_bull_ema21,20994,0.4969,0.4934,0.0021,0.5127,0.4806,0.0081,0.5181,0.4792,0.0141,0.5181,False
214,5M_cross_bear_ema21,18655,0.4995,0.4919,-0.0046,0.5065,0.4871,0.0021,0.5178,0.4789,0.0245,0.5178,False
121,1H_cross_bear_ema21,17952,0.4908,0.5036,-0.0049,0.4982,0.4968,0.0097,0.5177,0.4796,-0.0081,0.5177,False
218,5M_cross_bear_sma200,4516,0.4909,0.5035,-0.028,0.5175,0.4781,-0.0271,0.5044,0.4936,-0.0345,0.5175,False
123,1H_reject_bear_ema21,39139,0.5,0.4938,0.004,0.5092,0.4864,0.0102,0.5173,0.48,0.0006,0.5173,False
201,15M_fib0618_reject_bull,37711,0.5057,0.4847,0.0108,0.5171,0.4761,0.027,0.5135,0.4829,0.0351,0.5171,False
111,1H_macd_e1_bear,35627,0.5108,0.4803,0.013,0.5066,0.4877,0.0255,0.5171,0.4787,0.0465,0.5171,False
14,1M_cross_bull_sma200,5271,0.4881,0.5033,-0.0054,0.5054,0.49,0.0128,0.5168,0.4804,0.0285,0.5168,False
52,1W_fib0618_reject_bear,27802,0.4839,0.5086,-0.0188,0.488,0.5055,-0.0373,0.4791,0.5168,-0.0731,0.5168,False
3,1M_macd_e2_bear,12006,0.5015,0.4888,0.0063,0.5035,0.4887,0.0067,0.5168,0.48,0.0169,0.5168,False
17,1M_reject_bear_sma200,9534,0.5103,0.482,-0.002,0.5166,0.4785,0.0107,0.5113,0.4854,0.0243,0.5166,False
195,15M_fib0382_conf_ema21,20479,0.4712,0.5166,0.0145,0.4791,0.5118,0.0252,0.5091,0.4872,0.0846,0.5166,False
85,4H_stoch_os,41902,0.4985,0.4956,0.0184,0.5071,0.4881,0.0394,0.5165,0.4809,0.0773,0.5165,False
138,1H_fib0618_in_zone,25856,0.4844,0.5053,-0.0043,0.4768,0.5164,-0.0068,0.4979,0.4992,-0.0009,0.5164,False
6,1M_stoch_A_bull,14320,0.5126,0.4772,0.0107,0.5164,0.4769,0.0209,0.5145,0.4821,0.0281,0.5164,False
228,5M_fib05_reject_bull,31131,0.5132,0.4782,0.0081,0.5159,0.4785,0.02,0.5163,0.4805,0.0444,0.5163,False
163,30M_fib0382_reject_bear,22746,0.5023,0.4892,0.0201,0.5015,0.4928,0.0268,0.5163,0.4809,0.0417,0.5163,False
158,30M_reject_bear_sma200,9486,0.4992,0.493,-0.008,0.5037,0.4916,-0.0185,0.5161,0.4809,0.0256,0.5161,False
174,15M_macd_e2_bull,10899,0.4805,0.5109,0.0107,0.4781,0.516,0.0022,0.493,0.5037,0.0085,0.516,False
212,5M_stoch_B_bear,13057,0.4944,0.4957,-0.0028,0.4989,0.4924,0.006,0.5158,0.48,0.0319,0.5158,False
182,15M_cross_bull_ema21,16811,0.4967,0.4938,0.0022,0.4923,0.5015,-0.0008,0.4797,0.5156,0.0213,0.5156,False
30,1M_fib0618_reject_bear,57248,0.5049,0.4825,0.006,0.5155,0.4756,0.0049,0.5131,0.481,0.008,0.5155,False
122,1H_reject_bull_ema21,48196,0.5051,0.4875,0.013,0.5052,0.489,0.0182,0.5155,0.4817,0.0567,0.5155,False
