,variable,ocurrencias,wr_long_30m,wr_short_30m,pnl_mean_30m,wr_long_60m,wr_short_60m,pnl_mean_60m,wr_long_120m,wr_short_120m,pnl_mean_120m,best_wr,has_edge
56,1D_macd_e2_bear,12438,0.5102,0.4821,-0.0039,0.4974,0.4961,-0.0159,0.5054,0.4909,-0.0392,0.5102,False
38,1W_stoch_A_bear,18156,0.4994,0.4915,-0.006,0.4996,0.493,-0.0139,0.5101,0.4871,-0.0269,0.5101,False
207,5M_stoch_ob,65514,0.5019,0.4892,0.0221,0.5044,0.4899,0.0238,0.5101,0.486,0.0337,0.5101,False
26,1M_fib05_reject_bear,52966,0.5031,0.4842,0.0012,0.5097,0.4809,-0.0064,0.5074,0.4863,-0.0132,0.5097,False
28,1M_fib0618_in_zone,104121,0.5013,0.4859,0.0084,0.5066,0.4847,0.0124,0.5096,0.4854,0.0257,0.5096,False
142,30M_macd_e1_bear,34599,0.5069,0.4855,-0.0075,0.5054,0.488,0.023,0.5095,0.4873,0.0384,0.5095,False
104,4H_fib05_in_zone,9517,0.4977,0.4957,0.0163,0.5048,0.4912,0.0359,0.5094,0.4886,0.0874,0.5094,False
160,30M_extreme_bear_sma200,24704,0.4851,0.5091,0.0164,0.4902,0.5062,0.0326,0.5004,0.4965,0.0677,0.5091,False
139,1H_fib0618_reject_bull,37290,0.4918,0.5004,-0.0095,0.4851,0.5089,-0.0224,0.4948,0.5021,-0.029,0.5089,False
31,1W_macd_e1_bull,35373,0.4829,0.5088,-0.0304,0.4867,0.5069,-0.0602,0.4943,0.5025,-0.116,0.5088,False
13,1M_reject_bear_ema21,40826,0.502,0.4885,0.0004,0.5036,0.4892,0.0012,0.5087,0.4874,0.0095,0.5087,False
128,1H_extreme_bull_sma200,41764,0.4927,0.4963,-0.0084,0.4972,0.4951,-0.0136,0.4847,0.5087,-0.023,0.5087,False
150,30M_stoch_B_bear,12499,0.4905,0.502,0.0043,0.5031,0.4921,0.0295,0.5085,0.4884,0.0639,0.5085,False
165,30M_fib05_in_zone,25606,0.5058,0.4851,0.017,0.5014,0.4911,0.026,0.5083,0.4882,0.0324,0.5083,False
180,15M_stoch_B_bull,13810,0.4867,0.5038,0.0225,0.4862,0.5077,0.0048,0.5064,0.4901,0.0563,0.5077,False
176,15M_stoch_ob,68073,0.4994,0.4914,0.0081,0.5033,0.4904,0.0092,0.5077,0.489,0.0093,0.5077,False
10,1M_cross_bull_ema21,21181,0.4839,0.5045,-0.0004,0.4926,0.5007,0.0048,0.5076,0.4884,0.0197,0.5076,False
216,5M_reject_bear_ema21,41478,0.505,0.486,0.0006,0.4995,0.4934,0.0064,0.5071,0.4896,0.0051,0.5071,False
119,1H_stoch_B_bear,12318,0.5026,0.4891,0.0046,0.4862,0.5071,0.0189,0.5023,0.4947,0.0548,0.5071,False
194,15M_fib0382_reject_bear,27972,0.4938,0.4963,0.012,0.4888,0.5041,0.0208,0.5071,0.4895,0.0237,0.5071,False
99,4H_extreme_bear_sma200,19497,0.4933,0.5019,0.0387,0.5002,0.4958,0.0711,0.4909,0.5071,0.1411,0.5071,False
23,1M_fib0382_conf_ema21,86297,0.4935,0.4927,-0.0031,0.5019,0.4888,-0.0056,0.5071,0.4871,-0.0114,0.5071,False
77,1D_fib0618_in_zone,8622,0.4847,0.5023,-0.0043,0.5027,0.4901,-0.0113,0.4891,0.507,-0.0331,0.507,False
143,30M_macd_e2_bull,11146,0.5026,0.4878,0.0325,0.4873,0.507,0.0461,0.496,0.501,0.0613,0.507,False
24,1M_fib05_in_zone,99311,0.4986,0.4881,0.0048,0.5069,0.4843,0.0018,0.504,0.4904,-0.0049,0.5069,False
154,30M_reject_bear_ema21,41493,0.4977,0.4954,-0.0122,0.5068,0.4882,0.0034,0.5003,0.4967,0.0113,0.5068,False
32,1W_macd_e1_bear,43088,0.4996,0.4919,0.0037,0.5052,0.4886,0.0074,0.5067,0.4897,0.0131,0.5067,False
46,1W_fib0382_reject_bull,31600,0.4859,0.5044,0.0061,0.4879,0.5036,0.0127,0.5066,0.4893,0.0268,0.5066,False
20,1M_fib0382_in_zone,96782,0.4951,0.4918,-0.0017,0.5026,0.4886,-0.0044,0.5065,0.488,-0.0098,0.5065,False
232,5M_fib0618_reject_bull,33248,0.5063,0.4824,-0.0007,0.506,0.4851,-0.0023,0.5056,0.4874,-0.0001,0.5063,False
