bar_entry,bar_exit,direction,entry_price,exit_price,pnl_pct,exit_reason
48010,48102,LONG,121.34,120.4906,-0.007,SL
48102,48197,LONG,120.4,119.5572,-0.007,SL
48197,48204,LONG,119.55,118.7132,-0.007,SL
48204,48213,LONG,118.55,117.7202,-0.007,SL
48213,48453,LONG,117.4416,118.11,0.00569,TIME
48453,48693,LONG,118.11,119.2,0.00923,TIME
48769,48874,LONG,118.72,120.5008,0.015,TP
48874,48908,LONG,120.67,119.8253,-0.007,SL
48908,48914,LONG,119.785,118.9465,-0.007,SL
48914,48966,LONG,118.92,118.0876,-0.007,SL
48966,49206,LONG,118.0095,118.59,0.00492,TIME
49488,49502,LONG,118.88,118.0478,-0.007,SL
49502,49541,LONG,118.0,117.174,-0.007,SL
49541,49781,LONG,117.09,116.9,-0.00162,TIME
50928,51085,LONG,107.835,107.0802,-0.007,SL
51085,51100,LONG,106.925,106.1765,-0.007,SL
51100,51340,LONG,106.175,107.02,0.00796,TIME
51888,52128,LONG,106.47,107.21,0.00695,TIME
